Entry	Entry name	Status	Protein names	Gene ontology IDs	Subcellular location [CC]
G3V909	ATF6A_RAT	reviewed	Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha]	GO:0000977; GO:0001654; GO:0003700; GO:0005634; GO:0005794; GO:0007601; GO:0030176; GO:0030968; GO:0031625; GO:0035497; GO:0042802; GO:0043065; GO:0046982; GO:1903893; GO:1990440	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: Cyclic AMP-dependent transcription factor ATF-6 alpha: Nucleus. Note=Under ER stress the cleaved N-terminal cytoplasmic domain translocates into the nucleus. THBS4 promotes its nuclear shuttling.
Q5XIK1	ACTT1_RAT	reviewed	Actin-related protein T1	GO:0003682; GO:0005634; GO:0005737; GO:0006355; GO:0008589; GO:0015629; GO:0045892	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8TDG2}. Cytoplasm {ECO:0000250|UniProtKB:Q8TDG2}. Nucleus {ECO:0000250|UniProtKB:Q8TDG2}. Note=Both detected in the nucleus and cytoplasm, localizes to the nucleus where it binds chromatin upon stimulation of the Hedgehog pathway. {ECO:0000250|UniProtKB:Q8TDG2}.
P55215	CASP2_RAT	reviewed	Caspase-2 (CASP-2) (EC 3.4.22.55) (Protease ICH-1) [Cleaved into: Caspase-2 subunit p18; Caspase-2 subunit p13; Caspase-2 subunit p12]	GO:0001554; GO:0003407; GO:0005634; GO:0005737; GO:0005739; GO:0006508; GO:0006915; GO:0006977; GO:0007420; GO:0007568; GO:0012501; GO:0016020; GO:0016485; GO:0019904; GO:0035234; GO:0042802; GO:0043525; GO:0071260; GO:0097153; GO:0097192; GO:0097200; GO:2001235	
P27732	CAC1D_RAT	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide, isoform 2) (Rat brain class D) (RBD) (Voltage-gated calcium channel subunit alpha Cav1.3)	GO:0005245; GO:0005634; GO:0005737; GO:0005886; GO:0005891; GO:0006816; GO:0007507; GO:0007568; GO:0007613; GO:0008331; GO:0009986; GO:0016324; GO:0019722; GO:0030165; GO:0030425; GO:0030506; GO:0032355; GO:0032590; GO:0032793; GO:0035774; GO:0042383; GO:0043025; GO:0045762; GO:0046872; GO:0051924; GO:0070509; GO:0070838; GO:0086007; GO:0086012; GO:1904646; GO:1904879	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q5RJP0	ALD1_RAT	reviewed	Aldo-keto reductase family 1 member B7 (EC 1.1.1.21) (Aldehyde reductase) (Aldose reductase-like protein AKR1B14) (Aldose reductase-related protein 1)	GO:0004032; GO:0004033; GO:0005739; GO:0005829; GO:0008106; GO:0016491	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
P02665	CASB_RAT	reviewed	Beta-casein	GO:0005615; GO:1903488	SUBCELLULAR LOCATION: Secreted.
D3ZLY0	ACKMT_RAT	reviewed	ATP synthase subunit C lysine N-methyltransferase (EC 2.1.1.-) (Protein N-lysine methyltransferase FAM173B)	GO:0005739; GO:0016021; GO:0016279; GO:0018023; GO:0030061; GO:1904058; GO:1905273; GO:1905706	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250|UniProtKB:Q6P4H8}; Single-pass membrane protein {ECO:0000255}. Note=Localizes to mitochondrial cristae. {ECO:0000250|UniProtKB:Q6P4H8}.
Q5FVK8	AL14E_RAT	reviewed	ARL14 effector protein (ARF7 effector protein)	GO:0005730; GO:0005829; GO:0005886; GO:0005925; GO:0043231	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q63686	CDK16_RAT	reviewed	Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1)	GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0006887; GO:0007283; GO:0008021; GO:0030054; GO:0030252; GO:0031175; GO:0031234; GO:0043005; GO:0061178	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle {ECO:0000269|PubMed:16461345}. Cell junction, synapse, synaptosome {ECO:0000269|PubMed:16461345}. Note=Colocalizes with insulin in pancreas islets. {ECO:0000250}.
P35435	ATPG_RAT	reviewed	ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)	GO:0000275; GO:0005740; GO:0005743; GO:0005753; GO:0006119; GO:0006754; GO:0015986; GO:0045261; GO:0046034; GO:0046933; GO:0071732	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:9736690}; Peripheral membrane protein {ECO:0000269|PubMed:9736690}; Matrix side {ECO:0000250|UniProtKB:P05631}.
