Entry	Entry name	Status	Protein names	Gene ontology IDs	Subcellular location [CC]
Q07442	BDF2_YEAST	reviewed	Bromodomain-containing factor 2	GO:0001047; GO:0001094; GO:0005634; GO:0005737; GO:0006281; GO:0030435; GO:0031452; GO:0042393; GO:0070577; GO:0071944	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.
Q12365	BBP1_YEAST	reviewed	Spindle pole component BBP1 (BFR1-binding protein 1)	GO:0005198; GO:0005823; GO:0030474; GO:0071988	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body {ECO:0000269|PubMed:10654940, ECO:0000269|PubMed:14767068}. Note=Associates with the periphary of the central plaque.
P50277	BIOA_YEAST	reviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (Diaminopelargonic acid synthase)	GO:0004015; GO:0004141; GO:0005737; GO:0005739; GO:0009102; GO:0030170	
P36062	AVT3_YEAST	reviewed	Vacuolar amino acid transporter 3	GO:0000324; GO:0000329; GO:0003333; GO:0005302; GO:0015171; GO:0015186; GO:0015188; GO:0015824; GO:0016021; GO:0032974	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:11274162}; Multi-pass membrane protein {ECO:0000269|PubMed:11274162}.
P53841	BSC4_YEAST	reviewed	Bypass of stop codon protein 4		
P32562	CDC5_YEAST	reviewed	Cell cycle serine/threonine-protein kinase CDC5/MSD2 (EC 2.7.11.21)	GO:0000278; GO:0000712; GO:0000922; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005816; GO:0005935; GO:0006468; GO:0010458; GO:0010696; GO:0019237; GO:0032465; GO:0035025; GO:0044877; GO:0051219; GO:0051301; GO:0070194; GO:0090306; GO:0110083; GO:1902542; GO:1903353	
P09119	CDC6_YEAST	reviewed	Cell division control protein 6	GO:0000082; GO:0000278; GO:0003682; GO:0003688; GO:0003924; GO:0005524; GO:0005525; GO:0005634; GO:0005656; GO:0005694; GO:0005737; GO:0006267; GO:0006270; GO:0016887; GO:0030174; GO:0031261; GO:0031938; GO:0033314; GO:0051301	SUBCELLULAR LOCATION: Nucleus. Chromosome.
P41902	CRS5_YEAST	reviewed	Metallothionein-like protein CRS5	GO:0005507; GO:0005737; GO:0010038	
P32781	AGA2_YEAST	reviewed	A-agglutinin-binding subunit	GO:0000324; GO:0000752; GO:0005783; GO:0009277; GO:0050839	
Q08965	BMS1_YEAST	reviewed	Ribosome biogenesis protein BMS1	GO:0000462; GO:0000472; GO:0000480; GO:0003729; GO:0003924; GO:0005524; GO:0005525; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005739; GO:0030686; GO:0031167; GO:0034511	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11565749}. Nucleus, nucleolus {ECO:0000269|PubMed:11565749}.
Q12048	ATG41_YEAST	reviewed	Autophagy-related protein 41 (Interacting with cytoskeleton protein 2)	GO:0000045; GO:0000422; GO:0016236; GO:0032258; GO:0034045	SUBCELLULAR LOCATION: Preautophagosomal structure membrane {ECO:0000305|PubMed:26565778}; Peripheral membrane protein {ECO:0000305|PubMed:26565778}. Note=Shows a peri-mitochondrial distribution similar to ATG9 (PubMed:26565778). {ECO:0000269|PubMed:26565778}.
P32316	ACH1_YEAST	reviewed	Acetyl-CoA hydrolase (EC 3.1.2.1) (Acetyl-CoA deacylase) (Acetyl-CoA acylase)	GO:0003986; GO:0005739; GO:0005829; GO:0006083; GO:0006084; GO:0008775; GO:0019679	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11502169}.
P53264	CLD1_YEAST	reviewed	Cardiolipin-specific deacylase 1, mitochondrial (EC 3.5.1.-)	GO:0004623; GO:0005739; GO:0005743; GO:0016740; GO:0032048; GO:0035965; GO:0052689; GO:0055088	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:19244244}.
Q03153	ATP25_YEAST	reviewed	ATPase synthesis protein 25, mitochondrial (OLI1 mRNA stabilization factor)	GO:0005739; GO:0005743; GO:0033615; GO:0048255; GO:0140053	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:18216280}; Peripheral membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:18216280}; Matrix side {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:18216280}.
P38728	ECM34_YEAST	reviewed	Protein ECM34 (Extracellular mutant protein 34)	GO:0005768; GO:0005829; GO:0016021; GO:0071555	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P16151	ERD1_YEAST	reviewed	Protein ERD1	GO:0005789; GO:0006486; GO:0006621; GO:0015031; GO:0016020; GO:0016021	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein.
P00358	G3P2_YEAST	reviewed	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12)	GO:0004365; GO:0005634; GO:0005737; GO:0005739; GO:0005811; GO:0005829; GO:0005886; GO:0006094; GO:0006096; GO:0006915; GO:0009277; GO:0050661; GO:0051287; GO:0072593; GO:1990841	SUBCELLULAR LOCATION: Cytoplasm.
Q08387	DNLI4_YEAST	reviewed	DNA ligase 4 (EC 6.5.1.1) (DNA ligase II) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	GO:0001302; GO:0003677; GO:0003910; GO:0005524; GO:0006260; GO:0006297; GO:0006303; GO:0006310; GO:0007049; GO:0032807; GO:0046872; GO:0051103; GO:0051301; GO:0071897	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P32768	FLO1_YEAST	reviewed	Flocculation protein FLO1 (Flocculin-1)	GO:0000128; GO:0000501; GO:0005537; GO:0005576; GO:0005886; GO:0009277; GO:0031225; GO:0034605; GO:0036281; GO:0070301; GO:0071361; GO:0071944	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor. Secreted, cell wall. Note=Identified as GPI-anchored plasma membrane protein (GPI-PMP) as well as covalently-linked GPI-modified cell wall protein (GPI-CWP) in the outer cell wall layer.
Q07716	AIM6_YEAST	reviewed	Altered inheritance of mitochondria protein 6	GO:0006629; GO:0008081	
Q03233	ADD37_YEAST	reviewed	Alpha1-proteinase inhibitor-degradation deficient protein 37	GO:0005737; GO:0030433	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P32799	COX13_YEAST	reviewed	Cytochrome c oxidase subunit 6A, mitochondrial (EC 1.9.3.1) (Cytochrome c oxidase polypeptide VIa)	GO:0004129; GO:0005739; GO:0005751; GO:0006123; GO:0009060; GO:0030234; GO:0097250	SUBCELLULAR LOCATION: Mitochondrion inner membrane.
P32453	ATP11_YEAST	reviewed	Protein ATP11, mitochondrial	GO:0005739; GO:0007005; GO:0033615; GO:0051082	SUBCELLULAR LOCATION: Mitochondrion.
P53197	CDH1_YEAST	reviewed	APC/C activator protein CDH1 (CDC20 homolog 1) (Homolog of CDC twenty 1)	GO:0005634; GO:0005680; GO:0005737; GO:0007049; GO:0008361; GO:0010697; GO:0010997; GO:0030332; GO:0045842; GO:0051301; GO:1902426; GO:1903364; GO:1904668; GO:1905786; GO:1990757; GO:2000060	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12456658}. Nucleus {ECO:0000269|PubMed:12456658}. Note=Nuclear import and export are mediated by the importin PSE1 and the exportin MSN5.
P38845	CRP1_YEAST	reviewed	Cruciform DNA-recognizing protein 1 [Cleaved into: CRP1 short N-terminal subpeptide; CRP1 short C-terminal subpeptide]	GO:0003677; GO:0005634	
P43636	ALG2_YEAST	reviewed	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	GO:0000009; GO:0000033; GO:0004378; GO:0005783; GO:0005789; GO:0006490; GO:0016021; GO:0033164; GO:0033577; GO:0102704	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15044395}; Multi-pass membrane protein {ECO:0000269|PubMed:15044395}.
