Entry	Entry name	Status	Protein names	Gene ontology IDs	Subcellular location [CC]
Q7G7J6	SLR1_ORYSJ	reviewed	DELLA protein SLR1 (Gibberellic acid-insensitive mutant protein) (OsGAI) (Protein SLENDER RICE1)	GO:0003700; GO:0003712; GO:0005634; GO:0009723; GO:0009737; GO:0009740; GO:0009863; GO:0009867; GO:0009938; GO:0010187; GO:0042538; GO:0043565; GO:2000033; GO:2000377	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10713441, ECO:0000269|PubMed:11826299, ECO:0000269|PubMed:24131983}.
B1B534	EHD2_ORYSJ	reviewed	Protein EARLY HEADING DATE 2 (Ehd2) (Protein RICE INDETERMINATE 1) (OsID) (OsID1)	GO:0003700; GO:0005634; GO:0006355; GO:0043565; GO:0045893; GO:0046872; GO:0048510; GO:0048574; GO:0048575	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00768, ECO:0000269|PubMed:18725639, ECO:0000269|PubMed:18774969, ECO:0000269|PubMed:24280027}.
Q10RE2	YUC8_ORYSJ	reviewed	Indole-3-pyruvate monooxygenase YUCCA8 (OsYUCCA8) (EC 1.14.13.168) (Flavin-containing monooxygenase YUCCA8) (OsFMOt) (Protein CONSTITUTIVELY WILTED 1) (OsCOW1) (Protein NARROW LEAF 7) (Protein RICE ETHYLENE-INSENSITIVE 7)	GO:0004499; GO:0005783; GO:0009851; GO:0050660; GO:0050661; GO:0103075; GO:2000024; GO:2000280	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:17619151}.
Q6ZLB0	RSBZ1_ORYSJ	reviewed	bZIP transcription factor RISBZ1 (Rice seed bZIP1) (bZIP transcription factor 58) (OsbZIP58)	GO:0003700; GO:0005634; GO:0010581; GO:0043565; GO:0045893	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00978, ECO:0000269|PubMed:19473328}.
Q2TQ34	AP21_ORYSJ	reviewed	APETALA2-like protein 1 (APETALA2-like protein 23) (Protein RICE STARCH REGULATOR 1) (Protein TARGET OF EAT 1) (OsTOE1)	GO:0003677; GO:0003700; GO:0005634; GO:0009909; GO:0010581; GO:0045892; GO:0080050; GO:2000014	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00366}.
Q76CY8	PAIR2_ORYSJ	reviewed	Meiosis-specific protein PAIR2 (OsASY1) (Protein HOMOLOGOUS PAIRING ABERRATION IN RICE MEIOSIS 2)	GO:0000228; GO:0000775; GO:0005634; GO:0007129; GO:0009554; GO:0009556	SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:16410547, ECO:0000269|PubMed:21119003, ECO:0000269|PubMed:27436711}. Chromosome, centromere {ECO:0000269|PubMed:16410547}. Nucleus {ECO:0000269|PubMed:21119003}. Note=During interphase-early leptotene, distributed as numerous punctuate foci throughout the chromatin. Associates with chromosomal axes at leptotene and zygotene (PubMed:16410547, PubMed:21119003). Associates with chromosomal axes at zygotene (PubMed:27436711). Removed from the axes of arm regions when homologous chromosomes have been synapsed (PubMed:16410547, PubMed:21119003). Localizes to centromeres until diakinesis (PubMed:16410547). {ECO:0000269|PubMed:16410547, ECO:0000269|PubMed:21119003, ECO:0000269|PubMed:27436711}.
B6DMK2	MER3_ORYSJ	reviewed	ATP-dependent DNA helicase MER3 homolog (EC 3.6.4.12) (Protein RICE MEIOTIC CROSSOVER 1)	GO:0000712; GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0005694; GO:0007131	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22393242}. Chromosome {ECO:0000269|PubMed:22393242}. Note=Detected in punctuate foci onto the chromosomes in prophase I meiocytes. {ECO:0000269|PubMed:22393242}.
Q8VWH2	RFT1_ORYSJ	reviewed	Protein RICE FLOWERING LOCUS T 1 (FLOWERING LOCUS T-like protein 3) (FT-like protein 3) (OsFTL3)	GO:0005634; GO:0005783; GO:0008429; GO:0009908; GO:0009909; GO:0010229; GO:0030154; GO:0048510; GO:0048573	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Nucleus {ECO:0000269|PubMed:28254780}. Endoplasmic reticulum {ECO:0000269|PubMed:28254780}.
Q75RY2	PAIR1_ORYSJ	reviewed	Protein PAIR1 (Protein HOMOLOGOUS PAIRING ABERRATION IN RICE MEIOSIS 1)	GO:0005634; GO:0009553; GO:0009554; GO:0009556; GO:0042138; GO:0070192	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15031413}.
Q7X9A8	RSBZ2_ORYSJ	reviewed	bZIP transcription factor RISBZ2 (Rice endosperm bZIP) (Rice seed bZIP2) (bZIP transcription factor 33) (OsbZIP33)	GO:0003677; GO:0003700; GO:0005634	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00978}.
