Entry	Entry name	Status	Protein names	Gene ontology IDs	Subcellular location [CC]
Q27294	CAZ_DROME	reviewed	RNA-binding protein cabeza (P19) (Sarcoma-associated RNA-binding fly homolog)	GO:0000398; GO:0003682; GO:0003729; GO:0005634; GO:0005654; GO:0005669; GO:0006355; GO:0006367; GO:0008344; GO:0008345; GO:0045887; GO:0046872; GO:0048749; GO:0051124; GO:0071013	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:7623847}.
P14599	A4_DROME	reviewed	Amyloid-beta-like protein	GO:0005576; GO:0005886; GO:0007422; GO:0007611; GO:0007614; GO:0007616; GO:0008201; GO:0016021; GO:0016319; GO:0046914; GO:0048678; GO:0048812; GO:0050808; GO:0051602; GO:1901215	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q94517	HDAC1_DROME	reviewed	Histone deacetylase HDAC1 (HD) (EC 3.5.1.98)	GO:0000118; GO:0000122; GO:0000785; GO:0003714; GO:0004407; GO:0005634; GO:0005654; GO:0005700; GO:0005705; GO:0005737; GO:0006325; GO:0006342; GO:0006355; GO:0007350; GO:0008134; GO:0008340; GO:0010629; GO:0016458; GO:0016575; GO:0016580; GO:0016581; GO:0017053; GO:0030261; GO:0031061; GO:0031523; GO:0032041; GO:0035065; GO:0035098; GO:0045664; GO:0045879; GO:0045892; GO:0045944; GO:0048477; GO:0050771; GO:0061086; GO:0070822; GO:0070932; GO:0070933; GO:0070983; GO:1902692; GO:2001229	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12533794, ECO:0000269|PubMed:12697833}.
Q9XTN2	IRS1_DROME	reviewed	Insulin receptor substrate 1 (dIRS) (Protein chico)	GO:0005158; GO:0005159; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005938; GO:0007285; GO:0007295; GO:0007296; GO:0007568; GO:0008284; GO:0008286; GO:0008340; GO:0008355; GO:0009267; GO:0010259; GO:0010897; GO:0014068; GO:0034059; GO:0035159; GO:0035264; GO:0040018; GO:0042169; GO:0042593; GO:0042594; GO:0043231; GO:0043491; GO:0043548; GO:0045793; GO:0046620; GO:0046622; GO:0046854; GO:0048009; GO:0048133; GO:0050778; GO:0055088; GO:0060250; GO:0060291; GO:0061964	
Q7K1U0	ARC1_DROME	reviewed	Activity-regulated cytoskeleton associated protein 1 (dArc1)	GO:0003012; GO:0003729; GO:0016020; GO:0030017; GO:0030054; GO:0042595; GO:0045202; GO:0048168; GO:0051028; GO:0098975; GO:0110077; GO:1903561	SUBCELLULAR LOCATION: Extracellular vesicle membrane {ECO:0000269|PubMed:29328915}. Cell junction, synapse {ECO:0000269|PubMed:29328915}. Note=Forms virion-like extracellular vesicles that are released from neurons (PubMed:29328915). Present at pre- and postsynaptic sites of the neuromuscular junction (PubMed:29328915). {ECO:0000269|PubMed:29328915}.
Q9VNB5	ORCO_DROME	reviewed	Odorant receptor coreceptor (Odorant receptor 83b)	GO:0004984; GO:0005516; GO:0005549; GO:0005623; GO:0005886; GO:0005929; GO:0007608; GO:0015278; GO:0016021; GO:0019236; GO:0030425; GO:0032590; GO:0032880; GO:0042048; GO:0042803; GO:0048149; GO:0050911	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16402857}; Multi-pass membrane protein {ECO:0000269|PubMed:16402857}.
Q9VK45	TOR_DROME	reviewed	Serine/threonine-protein kinase Tor (EC 2.7.11.1) (Target of rapamycin)	GO:0001558; GO:0001934; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0006914; GO:0007346; GO:0007430; GO:0007584; GO:0008286; GO:0008340; GO:0008406; GO:0010507; GO:0016242; GO:0030307; GO:0031490; GO:0031670; GO:0031931; GO:0031932; GO:0032456; GO:0035096; GO:0035171; GO:0035264; GO:0038202; GO:0040018; GO:0043066; GO:0043621; GO:0044877; GO:0045176; GO:0045793; GO:0045887; GO:0045945; GO:0046628; GO:0048142; GO:0048813; GO:0051729; GO:0051897; GO:0090070; GO:1901799; GO:1902669; GO:1902808; GO:2000331; GO:2000377; GO:2001023	
Q9VT04	PATH_DROME	reviewed	Proton-coupled amino acid transporter-like protein pathetic	GO:0003333; GO:0005765; GO:0005886; GO:0015171; GO:0016021; GO:0030424; GO:0030425; GO:0031902; GO:0032536; GO:0036019; GO:0040008; GO:0043025; GO:0043204; GO:0044719; GO:0048813; GO:0097484	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22574197, ECO:0000269|PubMed:26063572}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:22574197}; Multi-pass membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:22574197}; Multi-pass membrane protein {ECO:0000255}. Cell projection, axon {ECO:0000269|PubMed:26063572}. Cell projection, dendrite {ECO:0000269|PubMed:26063572}. Perikaryon {ECO:0000269|PubMed:26063572}. Cytoplasm {ECO:0000269|PubMed:22574197}. Note=Localizes to endolysosomes in class IV da neurons. {ECO:0000269|PubMed:26063572}.
O76460	RAD54_DROME	reviewed	DNA repair and recombination protein RAD54-like (DmRAD54) (EC 3.6.4.-) (Protein okra) (RAD54 DNA repair protein)	GO:0000711; GO:0000724; GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0006281; GO:0006302; GO:0006310; GO:0006338; GO:0006417; GO:0007131; GO:0008298; GO:0010212; GO:0015616; GO:0030261; GO:0030716; GO:0043150; GO:0045003; GO:0046843; GO:0048477; GO:0051301	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9732269}.
Q9V6K1	TPP2_DROME	reviewed	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II) (dTPP II)	GO:0004177; GO:0004252; GO:0005829; GO:0006508; GO:0008240; GO:0042802; GO:0051260	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
