Entry	Entry name	Status	Protein names	Gene ontology IDs	Subcellular location [CC]
P56221	SCYD_MAGO7	reviewed	Scytalone dehydratase (SD) (SDH) (EC 4.2.1.94)	GO:0005768; GO:0030411; GO:0042438; GO:0046872	SUBCELLULAR LOCATION: Endosome {ECO:0000250|UniProtKB:O14434}.
Q04350	POLB_CHPVE	reviewed	ORFB polyprotein [Cleaved into: Papain-like protease p48 (EC 3.4.22.-); Putative RNA-directed RNA polymerase/helicase (EC 2.7.7.48) (EC 3.6.4.13)]	GO:0003724; GO:0003968; GO:0005524; GO:0008234; GO:0016021; GO:0033644	SUBCELLULAR LOCATION: Putative RNA-directed RNA polymerase/helicase: Host membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P11542	LIG4_PHACH	reviewed	Ligninase H2 (EC 1.11.1.14) (Diarylpropane peroxidase) (LG4) (Lignin peroxidase)	GO:0006979; GO:0016690; GO:0020037; GO:0042744; GO:0046274; GO:0046872	
Q6QWR1	P2OX_PHACH	reviewed	Pyranose 2-oxidase (P2O) (P2Ox) (POD) (POx) (PROD) (Pyranose oxidase) (EC 1.1.3.10) (FAD-oxidoreductase) (Glucose 2-oxidase) (Pyranose:oxygen 2-oxidoreductase)	GO:0042597; GO:0050233; GO:0050660	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:16348809}. Note=Hyphal periplasmic space.
A4QUT2	KATG2_MAGO7	reviewed	Catalase-peroxidase 2 (CP 2) (EC 1.11.1.21) (Peroxidase/catalase 2)	GO:0004096; GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872	SUBCELLULAR LOCATION: Secreted {ECO:0000255|HAMAP-Rule:MF_03108, ECO:0000269|PubMed:21043575}.
P0CS93	GAOA_GIBZA	reviewed	Galactose oxidase (GAO) (GO) (GOase) (EC 1.1.3.9)	GO:0005576; GO:0045480; GO:0046872	SUBCELLULAR LOCATION: Secreted.
I2DBY1	DYP_AURAJ	reviewed	Dye-decolorizing peroxidase AauDyP1 (EC 1.11.1.19) (EC 1.11.1.7) (AjP I) (Manganese-independent peroxidase I) [Cleaved into: Dye-decolorizing peroxidase AauDyP2 (EC 1.11.1.19) (EC 1.11.1.7) (AjP II) (Manganese-independent peroxidase II)]	GO:0004601; GO:0005576; GO:0020037; GO:0046872	SUBCELLULAR LOCATION: Secreted {ECO:0000305|PubMed:23111597}.
A4RD09	ARO1_MAGO7	reviewed	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	GO:0003855; GO:0003856; GO:0003866; GO:0004764; GO:0004765; GO:0005524; GO:0005737; GO:0009073; GO:0009423; GO:0046872	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03143}.
G4N7S6	HAT1_MAGO7	reviewed	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)	GO:0000407; GO:0000781; GO:0004402; GO:0005634; GO:0006281; GO:0006348; GO:0006914; GO:0009405	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:30776962}. Cytoplasm {ECO:0000269|PubMed:30776962}. Preautophagosomal structure {ECO:0000269|PubMed:30776962}. Note=Is only present in the nucleus under nutrient-rich condition, and translocates from the nucleus to the cytoplasm with the assistance of SSB1 during germination or upon starvation. {ECO:0000269|PubMed:30776962}.
G4NAP4	MNLOX_MAGO7	reviewed	Manganese lipoxygenase (MnLOX) (EC 1.13.11.-) (EC 1.13.11.45) (EC 1.13.11.58) (Manganese 9S/11S-lipoxygenase) (9S/11S-MnLOX)	GO:0005576; GO:0046872; GO:0050584	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q8X151}.
P10941	POLA_CHPVE	reviewed	Polyprotein p69 (ORFA polyprotein) [Cleaved into: Papain-like protease p29 (EC 3.4.22.-); p40 protein]	GO:0004197	
P49012	LIG2_PHACH	reviewed	Ligninase LG2 (EC 1.11.1.14) (Diarylpropane peroxidase) (Lignin peroxidase)	GO:0006979; GO:0016690; GO:0020037; GO:0046274; GO:0046872	
A0A0D1DWQ2	CMU1_USTMA	reviewed	Secreted chorismate mutase (EC 5.4.99.5)	GO:0004106; GO:0005576; GO:0009073; GO:0009405; GO:0044164; GO:0046417	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:21976020}. Host cytoplasm, host cytosol {ECO:0000269|PubMed:21976020}. Note=Is translocated to host plant cells and spreads to neighboring tissue. The spreading is likely to occur through plasmodesmata. {ECO:0000269|PubMed:21976020}.
C0NL63	ARO1_AJECG	reviewed	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	GO:0003855; GO:0003856; GO:0003866; GO:0004764; GO:0004765; GO:0005524; GO:0005737; GO:0009073; GO:0009423; GO:0046872	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03143}.
P86328	LACC1_CERUI	reviewed	Laccase-C1 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase C1) (Diphenol oxidase C1) (Lac C1) (Urishiol oxidase C1) (Fragments)	GO:0005576; GO:0046274; GO:0046872; GO:0052716	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20175123}.
P06181	LIG8_PHACH	reviewed	Ligninase H8 (EC 1.11.1.14) (Diarylpropane peroxidase) (Lignin peroxidase)	GO:0006979; GO:0016690; GO:0020037; GO:0042744; GO:0046274; GO:0046872	
Q8X151	MNLOX_GAEGA	reviewed	Manganese lipoxygenase (Mn-LO) (MnLOX) (EC 1.13.11.-) (EC 1.13.11.45) (Linoleate 11S-lipoxygenase) (Linoleate 13R-lipoxygenase) (Manganese 13R-lipoxygenase) (13R-MnLOX)	GO:0005576; GO:0046872; GO:0050584	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12047377, ECO:0000269|PubMed:9582345}.
Q9C1S9	GUX6_HUMIN	reviewed	Exoglucanase-6A (EC 3.2.1.91) (1,4-beta-cellobiohydrolase 6A) (Avicelase 2) (Beta-glucancellobiohydrolase 6A) (Exocellobiohydrolase 6A)	GO:0005576; GO:0016162; GO:0030245; GO:0030248	
P86327	LACC2_CERUI	reviewed	Laccase-C2 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase C2) (Diphenol oxidase C2) (Lac C2) (Urishiol oxidase C2) (Fragments)	GO:0005576; GO:0046274; GO:0046872; GO:0052716	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20175123}.
Q572D3	A3AEM_PHYIN	reviewed	RxLR effector protein Avr3a (Avirulence protein 3a)	GO:0005576; GO:0009405; GO:0030430	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15894622, ECO:0000269|PubMed:16965554, ECO:0000269|PubMed:17914356, ECO:0000269|PubMed:29312401}. Host cytoplasm {ECO:0000269|PubMed:15894622, ECO:0000269|PubMed:16965554, ECO:0000269|PubMed:17914356, ECO:0000269|PubMed:29312401}.
Q2M405	CRN8_PHYIN	reviewed	Crinkler effector protein 8 (EC 2.7.11.1)	GO:0004674; GO:0005576; GO:0009405; GO:0042025	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20847293}. Host nucleus {ECO:0000269|PubMed:20847293}.
Q6UG02	P2OX_PHLGI	reviewed	Pyranose 2-oxidase (P2Ox) (POD) (POx) (PROD) (Pyranose oxidase) (EC 1.1.3.10) (FAD-oxidoreductase) (Glucose 2-oxidase) (Pyranose:oxygen 2-oxidoreductase)	GO:0042597; GO:0050233; GO:0050660	SUBCELLULAR LOCATION: Periplasm {ECO:0000250}. Note=Hyphal periplasmic space. {ECO:0000250}.
Q02567	PEM1_PHACH	reviewed	Manganese peroxidase 1 (MnP-1) (MnP1) (EC 1.11.1.13) (Manganese peroxidase isozyme 1) (Peroxidase manganese-dependent 1) (Peroxidase manganese-dependent I)	GO:0005576; GO:0006979; GO:0016689; GO:0020037; GO:0042744; GO:0046274; GO:0046872	SUBCELLULAR LOCATION: Secreted.
Q6PW77	GOOX_SARSR	reviewed	Glucooligosaccharide oxidase (GOOX) (EC 1.1.3.-)	GO:0005576; GO:0016491; GO:0046872; GO:0071949	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1764476}.
Q0V3H0	ARO1_PHANO	reviewed	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	GO:0003855; GO:0003856; GO:0003866; GO:0004764; GO:0004765; GO:0005524; GO:0005737; GO:0009073; GO:0009423; GO:0046872	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03143}.
A6R8Q8	ARO1_AJECN	reviewed	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	GO:0003855; GO:0003856; GO:0003866; GO:0004764; GO:0004765; GO:0005524; GO:0005737; GO:0009073; GO:0009423; GO:0046872	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03143}.
B0XPE1	BGLA_ASPFC	reviewed	Probable beta-glucosidase A (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase A) (Cellobiase A) (Gentiobiase A)	GO:0005576; GO:0008422; GO:0030245; GO:0102483	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Q4P8S7	CFD1_USTMA	reviewed	Cytosolic Fe-S cluster assembly factor CFD1 (Cytosolic Fe-S cluster-deficient protein 1)	GO:0005524; GO:0005829; GO:0016226; GO:0046872; GO:0051536; GO:0051539	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03039}.
P80439	COX3_ALLMA	reviewed	Cytochrome c oxidase subunit 3 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide III)	GO:0004129; GO:0005743; GO:0016021; GO:0019646	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
